,bzip2_amd64_darwin_clang_28dc2ee7.json,bzip2_amd64_darwin_gcc_885ac7de.json,bzip2_amd64_darwin_go_cd368ba0.json,bzip2_amd64_darwin_rs-pure_672b9aab.json,bzip2_amd64_darwin_rs-sys_089b3292.json,bzip2_amd64_darwin_tgo_e9ce53c1.json,bzip2_amd64_linux_clang_2430eb37.json,bzip2_amd64_linux_gcc_4399a2b9.json,bzip2_amd64_linux_go_62958439.json,bzip2_amd64_linux_rs-pure_227bfcee.json,bzip2_amd64_linux_rs-sys_90d77d68.json,bzip2_amd64_linux_tgo_339261c9.json,bzip2_amd64_windows_clang.exe_ac39e1ca.json,bzip2_amd64_windows_gcc.exe_6c63c1e7.json,bzip2_amd64_windows_go.exe_475848bc.json,bzip2_amd64_windows_msvc.exe_bf6ed930.json,bzip2_amd64_windows_rs-pure.exe_0f1bb339.json,bzip2_amd64_windows_rs-sys.exe_e8875bd0.json,bzip2_arm64_darwin_clang_48b110af.json,bzip2_arm64_darwin_gcc_87a53fd3.json,bzip2_arm64_darwin_go_f857338e.json,bzip2_arm64_darwin_rs-pure_4270a245.json,bzip2_arm64_darwin_rs-sys_26360764.json,bzip2_arm64_darwin_tgo_91b83a84.json,bzip2_arm64_linux_clang_1ab795bb.json,bzip2_arm64_linux_gcc_96b9e9ad.json,bzip2_arm64_linux_go_8a45dfb5.json,bzip2_arm64_linux_rs-pure_434c6cad.json,bzip2_arm64_linux_rs-sys_0cdcf5cb.json,bzip2_arm64_linux_tgo_5485493c.json,bzip2_arm64_windows_clang.exe_bbfd25d7.json,bzip2_arm64_windows_go.exe_f32aecb8.json,bzip2_arm64_windows_msvc.exe_2fc063be.json,bzip2_arm64_windows_rs-pure.exe_70f3ba79.json,bzip2_arm64_windows_rs-sys.exe_223cea53.json
bzip2_amd64_windows_rs-pure.exe_0f1bb339.json,,,,,,,,,,,,,,,,,1.00,0.99,0.35,0.35,0.58,0.75,0.74,0.45,0.34,0.34,0.61,0.75,0.74,0.47,0.65,0.55,0.49,0.91,0.91
bzip2_amd64_windows_rs-sys.exe_e8875bd0.json,,,,,,,,,,,,,,,,,,1.00,0.35,0.35,0.59,0.75,0.75,0.45,0.34,0.34,0.62,0.75,0.75,0.47,0.65,0.55,0.49,0.92,0.91
bzip2_arm64_darwin_clang_48b110af.json,,,,,,,,,,,,,,,,,,,1.00,0.95,0.37,0.36,0.36,0.42,0.86,0.71,0.36,0.35,0.35,0.39,0.37,0.38,0.39,0.35,0.35
bzip2_arm64_darwin_gcc_87a53fd3.json,,,,,,,,,,,,,,,,,,,,1.00,0.36,0.35,0.35,0.41,0.82,0.68,0.36,0.35,0.35,0.39,0.36,0.37,0.39,0.35,0.35
bzip2_arm64_darwin_go_f857338e.json,,,,,,,,,,,,,,,,,,,,,1.00,0.72,0.72,0.48,0.38,0.37,0.91,0.71,0.71,0.52,0.81,0.78,0.52,0.61,0.62
bzip2_arm64_darwin_rs-pure_4270a245.json,,,,,,,,,,,,,,,,,,,,,,1.00,0.99,0.46,0.37,0.36,0.72,0.97,0.97,0.48,0.73,0.62,0.49,0.79,0.80
bzip2_arm64_darwin_rs-sys_26360764.json,,,,,,,,,,,,,,,,,,,,,,,1.00,0.47,0.37,0.36,0.72,0.96,0.97,0.48,0.73,0.63,0.50,0.79,0.79
bzip2_arm64_darwin_tgo_91b83a84.json,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.44,0.45,0.47,0.47,0.47,0.77,0.48,0.52,0.67,0.46,0.46
bzip2_arm64_linux_clang_1ab795bb.json,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.80,0.38,0.37,0.37,0.41,0.38,0.39,0.41,0.34,0.34
bzip2_arm64_linux_gcc_96b9e9ad.json,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.36,0.36,0.36,0.42,0.37,0.38,0.41,0.34,0.34
bzip2_arm64_linux_go_8a45dfb5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.71,0.72,0.50,0.81,0.82,0.51,0.64,0.64
bzip2_arm64_linux_rs-pure_434c6cad.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.99,0.48,0.72,0.62,0.49,0.80,0.80
bzip2_arm64_linux_rs-sys_0cdcf5cb.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.48,0.73,0.62,0.49,0.79,0.79
bzip2_arm64_linux_tgo_5485493c.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.50,0.55,0.76,0.48,0.48
bzip2_arm64_windows_clang.exe_bbfd25d7.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.69,0.60,0.67,0.68
bzip2_arm64_windows_go.exe_f32aecb8.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.56,0.57,0.57
bzip2_arm64_windows_msvc.exe_2fc063be.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.50,0.50
bzip2_arm64_windows_rs-pure.exe_70f3ba79.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.99
bzip2_arm64_windows_rs-sys.exe_223cea53.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00

total duration,"1152m 8.50s (69,128,498,154,154 nsec)"
